person_name,college,email,purpose,question
,,,,
shakeel,nit,shakeel@nit.com,fest,how to sleep?
shakeel,nit,shakeel@nit.com,fest,how to sleep?
aman,sastra,aman@yahoo.in,orientation,how to reach orion?
shakeel,nit,shaks@hotmail.com,fest,How to die?
jatin,bits,jatin@gmail.com,counselling,How to make bank account?
aman,nit trichy,aman@nitt.edu,fest,How to get a transcript?
shakeel,nit trichy,shakeel@gmail.com,fest,How to sleep
aman,nit,aman@nitt.edu,fest,is gre coaching available

shakeel,nit trichy,shakeel@nitt.edu,Counselling,is gre coaching available?
